image_id,image_path,mode,alpha,alpha_eff,mask_mean,psnr,ssim,rec_psnr,rec_ssim,ncc,ber,qr_decoded,frob_predicted,frob_measured,psnr_predicted,weyl_bound_max,mirsky_bound_max
coco_000000002532,images/coco_000000002532.png,svd_yolo,0.01,0.0024001828245452136,0.1555758693939126,58.831077351565845,0.9998191415384344,2.7401680026602984,0.3045508353303202,0.47676976521639436,0.6866111755371094,0,450.71655011580367,258.7121953059036,54.009345266024994,227.2817453539007,260.2213215375785
coco_000000002532,images/coco_000000002532.png,svd_yolo,0.02,0.004800365649090427,0.1555758693939126,50.97895136116894,0.9996974594642604,9.102195330131895,0.7802992323544545,0.9488413175519409,0.10228729248046875,1,901.4331002316073,638.8857487845538,47.98874535274537,454.5634907078014,520.442643075157
coco_000000002532,images/coco_000000002532.png,svd_yolo,0.05,0.012000914122726069,0.1555758693939126,41.45734400162327,0.9991139795201556,16.648381463055085,0.9309436067933256,0.9956792877373278,1.9073486328125e-05,1,2253.5827505790185,1912.069036410558,40.02994517930462,1136.4087267695036,1301.1066076878926
coco_000000002532,images/coco_000000002532.png,svd_yolo,0.1,0.024001828245452137,0.1555758693939126,34.83302116223709,0.9974298272963008,21.244483235190202,0.9662246537209183,0.9991047215479706,1.1444091796875e-05,1,4507.165501158037,4099.394467479313,34.009345266024994,2272.817453539007,2602.2132153757852
coco_000000002587,images/coco_000000002587.png,svd_only,0.001,0.001,1.0,68.23946173590254,0.9999644511636584,1.8878790591509818,0.17384169999013854,0.23253558209097397,0.6893730163574219,0,187.78425772678605,87.57853618324526,61.61423173914949,94.69351377304604,108.41729174813389
coco_000000002587,images/coco_000000002587.png,svd_only,0.005,0.005,1.0,51.430743190630096,0.9997043368798492,8.36555709171584,0.7554125262515514,0.9636811250679318,0.20034408569335938,1,938.9212886339302,606.5039158983229,47.63483165242911,473.46756886523013,542.0864587406695
coco_000000002587,images/coco_000000002587.png,svd_only,0.01,0.01,1.0,43.59788832219823,0.9990603872801915,13.626971227023674,0.8809487654054484,0.994441869583588,0.00011444091796875,1,1877.8425772678604,1494.4326682724786,41.61423173914949,946.9351377304603,1084.172917481339
coco_000000002587,images/coco_000000002587.png,svd_only,0.02,0.02,1.0,36.81132450077582,0.9971683517871289,16.97943634003697,0.8090233018102664,0.9943591525757267,6.103515625e-05,1,3755.685154535721,3264.408828562991,35.59363182586987,1893.8702754609205,2168.345834962678
coco_000000002587,images/coco_000000002587.png,svd_only,0.05,0.05,1.0,28.40371690605966,0.9848590700804776,18.411596125469444,0.7554080087311922,0.9900400915445875,4.9591064453125e-05,1,9389.212886339303,8593.79369079803,27.634831652429117,4734.675688652302,5420.864587406695
coco_000000002587,images/coco_000000002587.png,svd_only,0.1,0.1,1.0,22.279652708330303,0.9466325216254958,18.25512607590617,0.7435108702250024,0.987433943977262,4.9591064453125e-05,1,18778.425772678605,17393.54613067732,21.614231739149496,9469.351377304603,10841.72917481339
